text_id,text,target,expected_answer,Gemma_LoRA_answer,correct
wsc-258,"I tried to paint a picture of an orchard, with lemons in the lemon trees, but  [target]  came out looking more like light bulbs.",[target],lemons,lemons,True
wsc-259,"I tried to paint a picture of an orchard, with lemons in the lemon trees, but  [target]  came out looking more like telephone poles.",[target],lemon trees,lemons,False
wsc-260,James asked Robert for a favor but  [target]  was refused.,[target],James,favor,False
wsc-261,James asked Robert for a favor but  [target]  refused.,[target],Robert,Robert,True
wsc-262,Kirilov ceded the presidency to Shatov because  [target]  was less popular.,[target],Kirilov,Shatov,False
wsc-263,Kirilov ceded the presidency to Shatov because  [target]  was more popular.,[target],Shatov,Shatov,True
wsc-264,Emma did not pass the ball to Janie although  [target]  saw that she was open.,[target],Emma,Emma,True
wsc-265,Emma did not pass the ball to Janie although  [target]  was open.,[target],Janie,Janie,True
wsc-266,I put the butterfly wing on the table and  [target]  broke.,[target],The butterfly wing,butterfly wing,False
wsc-267,I put the heavy book on the table and  [target]  broke.,[target],The table,table,False
wsc-268,Madonna fired her trainer because  [target]  couldn't stand her boyfriend.,[target],Madonna,trainer,False
wsc-269,Madonna fired her trainer because  [target]  slept with her boyfriend.,[target],The trainer,trainer,False
wsc-270,Madonna fired her trainer because she slept with  [target]  boyfriend.,[target],Madonna,Madonna,True
wsc-271,Madonna fired her trainer because she couldn't stand  [target]  boyfriend.,[target],The trainer,trainer,False
wsc-272,Carol believed that Rebecca suspected that  [target]  had stolen the watch.,[target],Carol,Rebecca,False
wsc-273,Carol believed that Rebecca regretted that  [target]  had stolen the watch.,[target],Rebecca,Rebecca,True
